,transcription,action,object,location
651,Could you increase the heating please?,increase,heat,none
652,Switch off the lamp,deactivate,lamp,none
653,Turn the heat down in the washroom,decrease,heat,washroom
654,Far too loud,decrease,volume,none
655,Turn off the lamp,deactivate,lamp,none
656,I need to practice my Chinese. Switch the language,change language,Chinese,none
657,Turn up the heat in the washroom,increase,heat,washroom
658,Louder please,increase,volume,none
659,Turn the heat down in the washroom,decrease,heat,washroom
660,Volume mute,decrease,volume,none
661,Turn the bathroom lights on,activate,lights,washroom
662,Increase the temperature in the washroom,increase,heat,washroom
663,"It’s too loud, turn the volume down",decrease,volume,none
664,Switch off the lamp,deactivate,lamp,none
665,Turn the heat up,increase,heat,none
666,Switch on the lights,activate,lights,none
667,Turn the heat up in the washroom,increase,heat,washroom
668,Turn down the heat in the kitchen,decrease,heat,kitchen
669,Decrease the heating in the washroom,decrease,heat,washroom
670,Volume up,increase,volume,none
671,Turn up the temperature in the bedroom,increase,heat,bedroom
672,Set my device to Chinese,change language,Chinese,none
673,Turn up the temperature in the bedroom,increase,heat,bedroom
674,Turn sound up,increase,volume,none
675,Allow a different language,change language,none,none
676,Turn up the heat in the bathroom,increase,heat,washroom
677,Bedroom lights off,deactivate,lights,bedroom
678,Fetch my shoes,bring,shoes,none
679,Turn on the lights in the bedroom,activate,lights,bedroom
680,Bring me the newspaper,bring,newspaper,none
681,Bedroom lights off,deactivate,lights,bedroom
682,Get me some juice,bring,juice,none
683,Change the language,change language,none,none
684,Turn up the temperature,increase,heat,none
685,Turn up the heat in the washroom,increase,heat,washroom
686,Play,activate,music,none
687,Turn the bedroom heat up,increase,heat,bedroom
688,Play,activate,music,none
689,Make the music louder,increase,volume,none
690,Lamp on,activate,lamp,none
691,Decrease the heating in the bedroom,decrease,heat,bedroom
692,Put on the music,activate,music,none
693,Turn the lights off in the kitchen,deactivate,lights,kitchen
694,Increase the sound,increase,volume,none
695,Set my device to Chinese,change language,Chinese,none
696,Bathroom heat up,increase,heat,washroom
697,Stop music,deactivate,music,none
698,I need to practice my Korean. Switch the language,change language,Korean,none
699,Turn the lights on,activate,lights,none
700,Decrease the temperature in the washroom,decrease,heat,washroom
701,Turn down the temperature in the bedroom,decrease,heat,bedroom
702,Lights off in the kitchen,deactivate,lights,kitchen
703,Volume mute,decrease,volume,none
704,Decrease the temperature in the kitchen,decrease,heat,kitchen
705,Decrease the temperature in the washroom,decrease,heat,washroom
706,Get me the newspaper,bring,newspaper,none
707,Bring me my shoes,bring,shoes,none
708,Turn the bedroom lights off,deactivate,lights,bedroom
709,Bring me the newspaper,bring,newspaper,none
710,Could you decrease the heating?,decrease,heat,none
711,Switch the kitchen lights on,activate,lights,kitchen
712,Lights off,deactivate,lights,none
713,Decrease the heating,decrease,heat,none
714,Decrease the temperature in the washroom,decrease,heat,washroom
715,Lamp off,deactivate,lamp,none
716,Far too quiet,increase,volume,none
717,Could you decrease the heating?,decrease,heat,none
718,Language settings,change language,none,none
719,Make it hotter,increase,heat,none
720,Switch on the bathroom lights,activate,lights,washroom
721,Switch the bedroom lights on,activate,lights,bedroom
722,Switch off the lights,deactivate,lights,none
723,Switch on the bathroom lights,activate,lights,washroom
724,Turn the volume up,increase,volume,none
725,Bring some juice,bring,juice,none
726,OK now switch the main language to English,change language,English,none
727,Switch on the lights in the bedroom,activate,lights,bedroom
728,Increase the heating in the bathroom,increase,heat,washroom
729,Too quiet,increase,volume,none
730,Turn up the bathroom temperature,increase,heat,washroom
731,Switch the language,change language,none,none
732,Volume up,increase,volume,none
733,Switch the language,change language,none,none
734,Increase the heating in the bathroom,increase,heat,washroom
735,Turn the bathroom lights on,activate,lights,washroom
736,Decrease sound levels,decrease,volume,none
737,Set language to Chinese,change language,Chinese,none
738,Turn the volume up,increase,volume,none
739,Turn the heat up in the washroom,increase,heat,washroom
740,Set my device to Chinese,change language,Chinese,none
741,Decrease the heating in the bedroom,decrease,heat,bedroom
742,Turn on the washroom lights,activate,lights,washroom
743,Switch the lights off in the kitchen,deactivate,lights,kitchen
744,Turn the volume down,decrease,volume,none
745,Could you increase the heating?,increase,heat,none
746,I need to practice my Chinese. Switch the language,change language,Chinese,none
747,Washroom heat down,decrease,heat,washroom
748,Stop music,deactivate,music,none
749,Switch the kitchen lights on,activate,lights,kitchen
750,Turn the heat up in the bathroom,increase,heat,washroom
751,Switch off the lamp,deactivate,lamp,none
752,Allow a different language,change language,none,none
753,That's too quiet,increase,volume,none
754,Make it louder,increase,volume,none
755,Turn the temperature in the bedroom down,decrease,heat,bedroom
756,That’s too loud,decrease,volume,none
757,Turn down the bathroom temperature,decrease,heat,washroom
758,Lights on in the bedroom,activate,lights,bedroom
759,Turn up the temperature,increase,heat,none
760,Start the music,activate,music,none
761,Quieter,decrease,volume,none
762,Fetch the newspaper,bring,newspaper,none
763,Volume lower,decrease,volume,none
764,OK now switch the main language to German,change language,German,none
765,Turn up the heat in the washroom,increase,heat,washroom
766,Stop music,deactivate,music,none
767,Go get me my shoes,bring,shoes,none
768,Fetch my shoes,bring,shoes,none
769,Start the music,activate,music,none
770,OK now switch the main language to Chinese,change language,Chinese,none
771,Turn volume up,increase,volume,none
772,Switch language,change language,none,none
773,Lights off,deactivate,lights,none
774,Stop,deactivate,music,none
775,Turn the lamp on,activate,lamp,none
776,Switch the language,change language,none,none
777,Volume mute,decrease,volume,none
778,Lights on in the bathroom,activate,lights,washroom
779,Bathroom heat up,increase,heat,washroom
780,Language settings,change language,none,none
781,Play,activate,music,none
782,Turn on the lamp,activate,lamp,none
783,Turn the bedroom heat down,decrease,heat,bedroom
784,Lights off in the washroom,deactivate,lights,washroom
785,Turn up the washroom temperature,increase,heat,washroom
786,OK now switch the main language to Chinese,change language,Chinese,none
787,Set language to English,change language,English,none
788,Decrease the temperature in the bathroom,decrease,heat,washroom
789,Washroom lights on,activate,lights,washroom
790,Heat down,decrease,heat,none
791,Switch on the kitchen lights,activate,lights,kitchen
792,Set my phone's language to English,change language,English,none
793,Reduce audio volume,decrease,volume,none
794,Turn the heat down in the bathroom,decrease,heat,washroom
795,Switch on the lamp,activate,lamp,none
796,Decrease audio volume,decrease,volume,none
797,Switch the bedroom lights on,activate,lights,bedroom
798,Switch off the lights in the bedroom,deactivate,lights,bedroom
799,Pause the music,deactivate,music,none
800,Heat up,increase,heat,none
801,Decrease the volume,decrease,volume,none
802,Fetch my shoes,bring,shoes,none
803,Turn the lights on in the kitchen,activate,lights,kitchen
804,Bedroom lights off,deactivate,lights,bedroom
805,Start the music,activate,music,none
806,Bring juice,bring,juice,none
807,Switch the kitchen lights on,activate,lights,kitchen
808,Turn down the volume,decrease,volume,none
809,Turn up the heat in the bathroom,increase,heat,washroom
810,I need to practice my English. Switch the language,change language,English,none
811,Heat up,increase,heat,none
812,Bathroom heat down,decrease,heat,washroom
813,Switch off the lights,deactivate,lights,none
814,Make the music louder,increase,volume,none
815,Lights on,activate,lights,none
816,Increase the heating in the kitchen,increase,heat,kitchen
817,Increase the temperature,increase,heat,none
818,Switch off the washroom lights,deactivate,lights,washroom
819,Change the language,change language,none,none
820,Get me some juice,bring,juice,none
821,Turn the temperature up,increase,heat,none
822,Turn the temperature up,increase,heat,none
823,Change language,change language,none,none
824,Bring my socks,bring,socks,none
825,Turn the sound up,increase,volume,none
826,Bring socks,bring,socks,none
827,Switch the language,change language,none,none
828,Bedroom lights on,activate,lights,bedroom
829,Lamp off,deactivate,lamp,none
830,Bring me the newspaper,bring,newspaper,none
831,Washroom heat down,decrease,heat,washroom
832,Turn the temperature in the bedroom down,decrease,heat,bedroom
833,Increase the temperature in the bathroom,increase,heat,washroom
834,Turn the temperature in the bedroom down,decrease,heat,bedroom
835,Turn the lamp on,activate,lamp,none
836,Switch on the lamp,activate,lamp,none
837,"I couldn't hear anything, turn up the volume",increase,volume,none
838,Bedroom lights off,deactivate,lights,bedroom
839,Turn off the lamp,deactivate,lamp,none
840,Turn the sound up,increase,volume,none
841,Turn the volume up,increase,volume,none
842,Increase the temperature,increase,heat,none
843,Turn down the temperature in the kitchen,decrease,heat,kitchen
844,Bring me the newspaper,bring,newspaper,none
845,"It’s too loud, turn the volume down",decrease,volume,none
846,Turn the kitchen lights on,activate,lights,kitchen
847,Decrease the temperature in the bathroom,decrease,heat,washroom
848,Turn down the heat in the kitchen,decrease,heat,kitchen
849,Washroom lights on,activate,lights,washroom
850,Increase the sound volume,increase,volume,none
851,Decrease the temperature,decrease,heat,none
852,Turn on the lamp,activate,lamp,none
853,Decrease the volume,decrease,volume,none
854,Could you decrease the heating?,decrease,heat,none
855,Turn the sound up,increase,volume,none
856,Too loud,decrease,volume,none
857,Turn the bedroom heat down,decrease,heat,bedroom
858,Turn the temperature down in the bathroom,decrease,heat,washroom
859,Lights off in the bedroom,deactivate,lights,bedroom
860,Bring me my socks,bring,socks,none
861,Turn up the heat in the kitchen,increase,heat,kitchen
862,Turn down the bedroom heat,decrease,heat,bedroom
863,Turn the bathroom lights on,activate,lights,washroom
864,Lights on in the bathroom,activate,lights,washroom
865,Washroom lights on,activate,lights,washroom
866,Decrease sound levels,decrease,volume,none
867,Louder please,increase,volume,none
868,Decrease the temperature in the bathroom,decrease,heat,washroom
869,Turn it down,decrease,volume,none
870,Switch languages,change language,none,none
871,Set language to Chinese,change language,Chinese,none
872,Turn down the heat in the washroom,decrease,heat,washroom
873,Bedroom lights off,deactivate,lights,bedroom
874,I need to practice my Chinese. Switch the language,change language,Chinese,none
